year,field,original_field,keys,is_tt,rank,headline,text,count
2011,African / African Diaspora Art,African Art,,unknown,unknown,"Hood Museum of Art, Dartmouth","Hood Museum of Art, Dartmouth
First Round Interview: I am doing a skype interview with them next week.
Rejection:
Campus Interview:
Offer:

Has anyone heard from them to schedule a CAA interview yet? yes
Did anyone interview with them at CAA?

",1
2011,African / African Diaspora Art,African Art,"tt, assistant_prof",TRUE,assistant_prof,University of Kansas,"University of Kansas
The Department of African and African American Studies at the University of Kansas invites applications for an Assistant Professor, full-time, tenure-track position in African art and culture, expected to begin as early as August 18, 2012. The area of specialization is open. Special consideration will be given to candidates who are conversant with the global reach of art originating in both Islamic and non-Islamic African cultures and have a professional knowledge of African art history and theory. The successful candidate will also be a member of our nationally recognized Kansas African Studies Center. The candidate selected must be eligible to work in the U.S. prior to the start of the position.
Review of applications begins December 1, 2011 and continues as long as needed to identify a qualified pool of applicants.
First Round Interview: Phone Interviews were held in December.
Rejection: Those not moving on to campus interview were informed January 12, 2012.
Campus Interview:
Offer: This search has been completed.

",1
2011,African / African Diaspora Art,African-American Art,"tt, assistant_prof",TRUE,assistant_prof,Santa Clara University,"Santa Clara University
Assistant Professor, tenure track. Salary and benefits highly competitive. SCU's benefit package includes registered domestic partner benefits, housing subsidy program, pre-tenure research leave, and internal grant program; start September 2012. Responsibilities include teaching six classes per year on the quarter system (five in first year), advising and mentoring students, publishing quality scholarship in peer-reviewed venues and providing service to the department, College and the University, as appropriate to rank and years of service at SCU.
Applications must be received by November 18, 2011 to receive full consideration.
First Round Interview:
Rejection:
Campus Interview:
Offer: made and accepted by Tobias Wofford (PhD UCLA)

",1
2011,North American Art,American/Americas,"tt, associate_prof",TRUE,"assistant_prof, associate_prof",Illinois State University - Americas,"Illinois State University - Americas
The School of Art at Illinois State University seeks a full-time, tenure-track Assistant or tenure-track Associate Professor of Art History to teach undergraduate and graduate courses in the art and architecture of the Americas, emphasizing pre-twentieth century art, beginning August 16, 1012. The successful candidate will teach courses in the Art of the United States (colonial to the Depression-era), and develop complementary courses in the art of the Americas, broadly understood. The candidate will also contribute to the teaching of the survey of art history, undergraduate research methods, graduate courses in visual culture, and general education. Additional responsibilities include working with graduate students in the M. F. A. studio program, and serving the school, college, and university on committees.
First Round Interview: (anything yet 1/6?)(No 1/13)(Still nothing 1/20)(2/9 only the sound of crickets)
Called the department. They are in the process of reviewing applications for Telephone/Skype interviews (i.e., no CAA interviews?) *There will not be interviews at CAA. Phone interviews only for longlist.
contacted for phone interview 2/15
Rejection:
Campus Interview:
Three campus interviews completed 4/13
Offer:

",1
2011,Ancient Art,"Ancient Mediterranean and Near East, Art and Archaeology","tt, associate_prof",TRUE,"assistant_prof, associate_prof","Illinois State University, Normal/Bloomington, IL - Ancient","Illinois State University, Normal/Bloomington, IL - Ancient
The School of Art at Illinois State University seeks a full-time, tenure-track Assistant or tenure-track Associate Professor of Art History to teach undergraduate and graduate courses in ancient art history beginning August 16, 2012. The successful candidate will teach courses in Greek, Roman, and Ancient Near Eastern art and architecture. An interest in developing new courses in complementary areas is expected. The candidate will also contribute to the teaching of the survey of art history, undergraduate research methods, graduate courses in visual culture, and general education. Additional responsibilities include working with graduate students in the M. F. A. studio program, and serving the school, college, and university on committees.
Deadline: Nov 28
First Round Interview: contacted 2/10 for phone interview (x2)
Rejection:
Campus Interview: Contacted for on-campus interview (phone), 3.1.12 (x2)
Offer: (Any word? 4/21) offer made (late April), but rejected (5.2). Offered to different candidate (5.4) and accepted.

",1
2011,North American Art,American/Americas,"tt, assistant_prof",TRUE,assistant_prof,Rhode Island College,"Rhode Island College
Assistant Professor, tenure track. Ph.D. required. 19th, 20th, or American art history. Applications due 1/23; position begins Fall 2012. Teach 19th and 20th century, American Art, survey, and a seminar in the area of your specialization. Preferred: expertise in museum/curatorial studies, and/or non-Western art; experience/interest in writing intensive courses. Additional responsibilities include advising students, service to department and college.
First round interview: Any news? (2/29) (? 3/25)
Rejection:
Campus Interview: contacted via email in early march
Offer:

",1
2011,North American Art,American/Americas,"tt, assistant_prof",TRUE,assistant_prof,Whitman College,"Whitman College
Tenure-track position in Ethnic American Visual Culture, at the rank of assistant professor. Effective August 2012. Ph.D. in an appropriate disciplinary or interdisciplinary field by the time of appointment. Area of specialization open. We seek an individual with a critical approach to the impact of visual culture on issues of race and ethnicity in the United States. The successful candidate will teach five courses per year including ƒ??Introduction to Art History and Visual Culture Studiesƒ? and courses in area of specialization. The position will also have teaching responsibilities in the Race and Ethnic Studies Program. Deadline: January 10, 2012.
First round interview: Skype interview requested 1/21 (x2)
Rejection: 4/4
Campus Interview:
Offer:

",1
2011,Ancient Art,"Ancient Mediterranean and Near East, Art and Archaeology","assistant_prof, associate_prof",TRUE,"assistant_prof, associate_prof","Brown University, Joukowsky Institute","Brown University, Joukowsky Institute
Assistant or Associate Professor of Archaeology, Brown University, Joukowsky Institute for Archaeology and the Ancient World. Brown University invites applications for an assistant or associate professor in the field of Mediterranean or Near Eastern archaeology. Applications are welcome from scholars interested in the complex societies of any part of this broad geographic expanse. Candidates are sought with expertise and interests complementary to current Institute faculty and to Brown resources. Individuals with active fieldwork projects are particularly welcome.
All candidates should submit a letter of application and a curriculum vita. Assistant professors should ask that three letters of reference be sent directly to the Chair of the Search Committee. Associate professors should provide five names of referees with up-to-date contact information (including email, if possible); referees will be contacted directly by the Search Committee. Complete applications received by December 1, 2011 will receive full consideration, but the search will remain open until the position is closed or filled.
First Round Interview (if held):
Rejection: Received 2/3/12 (according to Classics wiki)
Campus Interview: 4 campus visits have been scheduled (according to Classics wiki; no date provided)
Offer:

",1
2011,Ancient Art,"Ancient Mediterranean and Near East, Art and Archaeology","tt, assistant_prof",TRUE,assistant_prof,"Coe College, Cedar Rapids, IA","Coe College, Cedar Rapids, IA
Coe College invites applications for a tenure-track position in Classics at the level of Assistant Professor. The appointment will begin in the fall 2012. Primary areas of teaching competency are to be in ancient history (Greek and Roman) and anthropology/archeology. For additional information about the position and the application process, visit Coeƒ??s website at www.coe.edu/aboutcoe/employment. Deadline for the submission of materials is November 28, 2011. Interviews will be held at the APA/AIA Meetings in Philadelphia, January 5-8, 2012. Coe College is an AA/EO Employer.
First Round Interview: Interviews held at AIA, January 6-7, 2012
Rejection:
Campus Interview: Scheduled via email 1/14/12 (according to Classics wiki)
Offer: Made and accepted 2/16/12 (according to Classics wiki)

",1
2011,North American Art,American/Americas,tt,TRUE,unknown,"Indiana University, Bloomington","Indiana University, Bloomington
The Department of the History of Art invites applications for a tenure-track position in American art and visual culture, with a strong preference for candidates whose research addresses topics from the eighteenth century through the First World War. Starting date August 2012. PhD, teaching experience, and evidence of a robust research program are required. The department has a strong commitment to undergraduate and graduate teaching, and the candidate will be expected to contribute in both areas. He or she also will be expected to teach a range of courses, including the early history of photography, and to participate in a highly interdisciplinary department with traditional strengths in, among other things, art and visual culture from the nineteenth century to the present. Applications should include a letter of interest, curriculum vitae, sample publications, sample syllabi, teaching and research statements, and a list of three references and their contact information. Please address all correspondence to Bret Rothstein, Chair, American Art Search Committee, Department of the History of Art, Henry Radford Hope School of Fine Arts, Room 132, Indiana University, 1201 E. 7th Street, Bloomington IN 47405-5501. All e-mail contact should be sent care of the departmental office manager, Fenella Flinn (fflinn@indiana.edu). Applications must be received by 12 December 2011.
First Round Interview: e-mail received 1/6/12
Rejection: rejection letter received 1/17/12 (x3)
Campus Interview:
Offer: received letter that an offer has been made and accepted (3/29)- congratulations to the new professor!

",1
