field,years
African Art,"2011,2012,2013,2014"
African-American Art,"2011,2014"
American/Americas,2011
"Ancient Mediterranean and Near East, Art and Archaeology",2011
"Asian: East, South, Southeast",2011
"Contemporary Art, Modern Art, Architecture, & Design",2011
Early Modern Europe,2011
Latin American/Pre-Columbian,2011
Medieval: Western Medieval and Byzantine,2011
General Art History,2011
General Non-Western Art History,2011
American,2012
Ancient,2012
Architecture,"2012,2013,2014,2015"
Asian,2012
18th/19th Century,2012
Fellowships,"2012,2013,2014,2015,2016,2017,2018"
Generalist,"2012,2013"
Medieval / Byzantine,2012
Middle Eastern / Islamic Art,"2012,2013"
Modern/Contemporary,2012
Non-Western/Global,2012
Renaissance / Early Modern,2012
Visual Studies / Visual Culture,"2012,2013"
American Art,"2013,2014,2015,2016,2017,2018,2019,2020,2021"
Ancient Art,"2013,2014,2015,2016,2017,2018,2019,2020,2021"
Asian Art,"2013,2014,2015,2016,2017,2018,2020,2021"
Early Modern / Renaissance Art,"2013,2014,2015,2016,2017,2018,2019,2021"
Eighteenth / Nineteenth C. Art,2013
Film,2013
Global / Western and Non-Western Components,2013
Global / Non-Western Art,"2013,2016,2017,2018,2019,2021"
Hispanic / Latin American Art ,2013
Medieval / Byzantine Art,"2013,2017,2018,2019,2020,2021"
Modern / Contemporary Art,"2013,2014,2015,2016,2017,2019,2020,2021"
Open / Multiple,2013
Photography,2013
Byzantine / Medieval Art,"2014,2015,2016"
Costume/ Dress or Textile History,2014
Design History,"2014,2015,2016,2017,2018,2019,2020,2021"
Eighteenth / Nineteenth Century Art,"2014,2015,2016,2017,2018,2019"
Generalist / Open,"2014,2015,2016,2017,2018,2019,2020"
Global / Non-Western,"2014,2015,2020"
Hispanic / Latin American Art,"2014,2015,2016,2017,2018,2019,2020,2021"
Islamic / Middle Eastern Art,"2014,2015,2016,2017"
Museum Studies,"2014,2015,2016,2017,2018,2019,2020,2021"
Photography / Film,"2014,2015,2016,2017,2018,2019,2020"
Visual Culture / Visual Studies,"2014,2015,2016,2017,2018,2019,2020"
African / African-American Art,"2015,2016,2017,2018,2019,2020"
Costume / Dress or Textile History,"2015,2016,2017"
Native American Art,"2015,2016,2017,2018,2019,2020,2021"
Architectural History,"2016,2017,2018,2019,2020,2021"
Canadian Art,"2016,2017"
Russian and East European,"2016,2017"
Arts Management/Arts Administration,2017
Gender Studies,"2018,2019,2020,2021"
Islamic Art,"2018,2020,2021"
Modern / Contemporary,2018
Arts Management / Arts Administration,"2019,2020,2021"
Asian Art ,2019
Islamic Art ,2019
Asian American Art,2020
Early Modern / Renaissance,2020
African Art / Art of the African Diaspora,2021
Generalist / Open / Visual Culture,2021
Photography / Film / Media Studies,2021
